,title,media,time,host
0,&#39;아는 형님&#39;서 박진영 신곡 &#39;피버&#39; 김영철 신곡 &#39;신호등&#39;과 의외 대결,세계일보,1일 전,네이버뉴스
1,"박진영, &quot;왼쪽 뇌 경동맥 없어&quot; 최초 고백",노컷뉴스,1일 전,네이버뉴스
2,"‘아는 형님’ 박진영, 선천적 뇌 기형 “왼쪽 뇌 경동맥 없다”",한국일보,1일 전,네이버뉴스
3,박진영 &quot;내곡 시그니처 &#39;JYP~&#39; 선입견 때문에 안 넣는다&quot;(아는형님),싱글리스트,1일 전,
4,"박진영, 신곡 &#39;FEVER&#39;…&quot;김영철 이기려고 하다 보니&quot;",한스경제,1일 전,
5,박진영 &quot;왼쪽 뇌 경동맥 없다..기형인 줄 처음 알아&quot;,스타뉴스,1일 전,네이버뉴스
6,&#39;아는형님&#39; 이상민 &quot;박지윤에게 박진영 추천했다&quot; 최초 고백 [핫TV],OSEN,1일 전,네이버뉴스
7,&#39;아는형님&#39; 박진영 최초 고백 &quot;선천적 왼쪽 뇌 경동맥 없다&quot; [전일야화],엑스포츠뉴스,1일 전,네이버뉴스
8,"박진영 잡는 다현X나연, JYP 예능 3인방 환상 호흡 ‘아는형님’[어제TV]",뉴스엔,1일 전,네이버뉴스
9,‘아는 형님’ 박진영 트와이스 나연 다현 어색달콤 케미,국제신문,1일 전,
10,&#39;아는 형님&#39; JYP 3인방의 넘치는 예능감…&#39;박진영 잡는 다현&#39;,뉴스1,1일 전,네이버뉴스
11,"[종합] `아는 형님` 박진영X나연X다현, JYP 예능 에이스 출격",매일경제,1일 전,네이버뉴스
12,"&quot;진영아 이 바보야!&quot;…&#39;아형&#39; 다현X나연, 박진영 지원사격 &#39;예능감 폭발&#39; [종합]",엑스포츠뉴스,1일 전,네이버뉴스
13,"&#39;아형&#39; 박진영, 뇌 경동맥 기형 고백…나연X다현 &#39;환상의 예능 호흡&#39;[종합]",스포츠조선,1일 전,네이버뉴스
14,&#39;아형&#39; 나연x다현 지원사격→JYP수장 박진영 춤꾼의 귀환[종합],OSEN,1일 전,네이버뉴스
15,"[종합] &#39;아는형님&#39; 207회, &quot;나 닮은 배우-디카프리오&quot; JYP 정답에 충격! ...&quot;뇌가 조금 특이해&quot; 박진영의 신체 비밀은? 뮤지컬 같은 박진영 신곡 &#39;FEVER&#39; MV 대공개!",톱스타뉴스,1일 전,
16,"&#39;아는형님&#39; 207회, 박진영 &#39;FEVER&#39; MV에 배우 조여정 출연! 박진영의 작곡 비법 대공개 ...&quot;진짜 이사 되겠는데?&quot; 다현 사회생활 만렙! (2)",톱스타뉴스,1일 전,
17,"&#39;아는형님&#39; 박진영 &quot;트와이스 나연, 실물 보면 놀란다...정말 예뻐&quot;",텐아시아,1일 전,네이버뉴스
18,"&#39;아는형님&#39; 207회, &quot;우리가 어디가 웃긴데?&quot; 나연+다현+JYP 3인3색! ...최초로 박진영 &#39;FEVER&#39;와 김영철 &#39;신호등&#39; 무대 동시 공개 (1)",톱스타뉴스,1일 전,
19,"&#39;아는 형님&#39; 김희철, 박진영에 &quot;김영철에 비해 무대 여유 없어 보여&quot;",더셀럽,1일 전,
20,"‘아는형님’ 박진영 “Miss A 꺾고 1위, 미소 못 숨겼다” 1위 욕심",헤럴드POP,1일 전,네이버뉴스
21,"&#39;아는 형님&#39; 박진영 &#39;FEVER&#39; 로 컴백, 뜻밖의 김영철, 유산슬과 라이벌 구도",한국경제,1일 전,네이버뉴스
22,"아는형님, 박진영·트와이스 나연&amp;다현 출연! 박진영 &quot;자식이 잘 되면 덕 좀 볼 수 있지&quot;",한국강사신문,1일 전,
23,"‘아는형님’ 박진영, 김영철과 뜻 밖의 신곡 전쟁",티브이데일리,1일 전,
24,&#39;아는형님&#39; 박진영 &quot;자식이 잘 되면 덕 좀 볼 수 있지&quot;,AI타임스,1일 전,
25,"`아는형님` 박진영, 김영철과 라이벌 구도→뜻밖의 신곡 전쟁 [MK★TV컷]",MK스포츠,1일 전,네이버뉴스
26,"박진영VS김영철, 뜻밖의 라이벌 구도? &quot;가요계 김영철, 유산슬, JYP 뜬다&quot;(`아는형님`)",매일경제,1일 전,네이버뉴스
27,"박진영, 김영철과 라이벌 구도? “이기려 하다 보니..”",서울신문,2일 전,네이버뉴스
28,"&#39;아는 형님&#39; 박진영, 김영철과 &#39;뜻밖의&#39; 라이벌 구도?…&quot;인정&quot;",JTBC,2일 전,네이버뉴스
29,"김희철, 구하라-설리 사망 이후 인스타 비공개 전환 &quot;습관적 청혼&quot; 재조명 뭉클",데일리시큐,2일 전,
30,"&#39;아는형님&#39; 박진영 VS 김영철, 뜻밖의 라이벌 구도로 신곡 전쟁",일간스포츠,2일 전,네이버뉴스
31,"&#39;아는형님&#39; 박진영vs김영철, 신곡 경쟁으로 뜻밖의 라이벌 구도",엑스포츠뉴스,2일 전,네이버뉴스
32,"&#39;아는 형님&#39; 박진영 vs 김영철, 뜻밖의 신곡 전쟁…라이벌 구도",스포츠조선,2일 전,네이버뉴스
33,"‘아는 형님’ 박진영, “자식이 잘 되면 덕 좀 볼 수 있지”",한국일보,2일 전,네이버뉴스
34,"[투데이TV]&#39;아는형님&#39; 박진영vs김영철, 뜻밖의 라이벌 구도...가수로서 신곡전쟁",헤럴드POP,2일 전,네이버뉴스
35,"‘아는형님’ 박진영, 트와이스 대동해 “덕 좀 볼 수 있지”[오늘TV]",뉴스엔,2일 전,네이버뉴스
36,김강훈 “옹산에 있어야 할 것 같다 김강훈으로 돌아와 아쉽다”,국제신문,4일 전,
37,"&quot;공효진, 엄마만큼 좋아&quot;…&#39;철파엠&#39; 김강훈이 밝힌 #동백꽃필무렵 #필구 #옹산♥ [종합]",스포츠조선,4일 전,네이버뉴스
38,"&#39;철파엠&#39; 필구 김강훈, 출구없는 매력 &#39;발산&#39;…김영철 &#39;폭소&#39;",영남일보,4일 전,
39,&#39;철파엠&#39; 김강훈이 밝힌 &#39;동백꽃&#39; 뒷이야기...&quot;본명보다 필구가 편해&quot;,YTN,4일 전,네이버뉴스
40,"&#39;철파엠&#39; 필구 김강훈 &quot;공효진과 자주 연락, &#39;동백꽃&#39; 종영 아쉬워&quot;(ft.미쳤어) [종합]",엑스포츠뉴스,4일 전,네이버뉴스
