,title,media,time,host
0,"&#39;미운 우리 새끼(미우새)&#39; 김희철, 축서단→있지 &#39;성덕&#39; 행렬…&quot;주민번호 4로 시작?&quot; ",톱스타뉴스,1시간 전,
1,"&#39;미우새&#39; 김건모·母 분량 없었다…김희철, ITZY 만난 성덕(ft.박태환)[SS리뷰]",스포츠서울,10시간 전,네이버뉴스
2,"&#39;미우새&#39; 김희철, 우주大프로듀서 변신 ‥폐지논란 속 방송 &#39;정주행Ing&#39; [어저께TV]",OSEN,10시간 전,네이버뉴스
3,"김건모 빠진 &#39;미우새&#39;, 김희철 이수근과 음원 발표 비하인드 공개",아주경제,17시간 전,
4,"&#39;미우새&#39; 김희철, 이수근 독려하면서도 &quot;만져야해 형&quot; 걱정",싱글리스트,18시간 전,
5,"&#39;미우새&#39; 김희철x이수근, &#39;하얀 겨울&#39; 리메이크+ ITZY 깜짝만남까지(종합)",뉴스1,18시간 전,네이버뉴스
6,"[종합] `미우새` 김희철X이수근X신동, ITZY(잇지) 함께 리메이크 곡 작업",매일경제,18시간 전,네이버뉴스
7,"&#39;미우새&#39; 박태환 &quot;호기심에 알몸 수영&quot;…김희철X이수근, &#39;우주쪼꼬미&#39; 결성[종합S]",스포티비뉴스,18시간 전,네이버뉴스
8,"[스브스夜] &#39;미우새&#39; 김희철X이수근, &#39;우주 쪼꼬미&#39; 결성…신동XITZY 지원 사격",SBS funE,18시간 전,네이버뉴스
9,"[종합]&#39;미우새&#39; 탁재훈, 이상민 매니저 변신→김희철, ITZY와 뮤비 촬영",스포츠조선,18시간 전,네이버뉴스
10,"이수근, 김희철 ITZY 팬심에 &quot;트와이스서 빨리 넘어왔다&quot; 폭로",싱글리스트,18시간 전,
11,"&#39;미운우리새끼&#39; 박태환, 전원 2000년대생 ITZY에 놀라움",일요신문,19시간 전,
12,"&#39;우주쪼꼬미&#39; 이수근·김희철 &#39;하얀 겨울&#39; 리메이크 녹음 현장 ITZY 예지·리아·류진·채령·유나 등장!…탁재훈, 이상민 일일 매니저 굴욕 &#39;미운우리새끼&#39; [★픽]",톱스타뉴스,19시간 전,
13,"박태환, &quot;아버지 수영 못하셔&quot; 의외의 사실 밝혀…금메달리스트, 그의 나이는? &#39;미운우리새끼&#39; [★픽]",톱스타뉴스,19시간 전,
14,"김희철 청소용품 &#39;공&#39; 정체는? 딘딘 집 공개, 김종국의 이상민 &#39;돌&#39; 리턴! &#39;미운우리새끼&#39; [★픽]",톱스타뉴스,20시간 전,
15,"&#39;김희철X이수근&#39; 우주 쪼꼬미, 신곡 &#39;하얀 겨울&#39; 음원+뮤비 공개",엑스포츠뉴스,20시간 전,네이버뉴스
16,"&#39;미운우리새끼&#39; 탁재훈, 이상민 매니저 되다…이수근X김희철 &#39;우주쪼꼬미&#39; 녹음, 있지(ITZY) 출동",CBC뉴스,21시간 전,
17,"ITZY도 반한 우주쪼꼬미표 감성 캐럴, 김희철X이수근 ‘하얀 겨울’[들어보고서]",뉴스엔,23시간 전,네이버뉴스
18,"김희철-이수근 ‘우주 쪼꼬미’, ‘하얀 겨울’ 15일 공개…‘ITZY’ 뮤비 깜짝 출연",국제신문,1일 전,
19,"[DA:투데이] 우주 쪼꼬미, 오늘(15일) ‘하얀 겨울’ 발표…신동X있지 지원사격",스포츠동아,1일 전,네이버뉴스
20,"‘우주 쪼꼬미’ 김희철X이수근, 신곡 ‘하얀 겨울’ 오늘 공개... 신동-ITZY 지원사격",MBC연예,1일 전,네이버뉴스
21,"김희철X이수근 &#39;우주 쪼꼬미&#39;, 신곡 &#39;하얀 겨울&#39; 발표…신동·ITZY 지원사격",SBS funE,1일 전,네이버뉴스
22,"&#39;우주 쪼꼬미&#39; 김희철X이수근, &#39;하얀 겨울&#39; 공개…신동-ITZY 지원사격",TV리포트,1일 전,네이버뉴스
23,"김희철x이수근 &#39;우주쪼꼬미&#39;, 신곡 &#39;하얀 겨울&#39; 발표…ITZY 참여",아시아투데이,1일 전,
